transaction_id,user_id,transaction_date,raw_timestamp,region,city,product_category,price,quantity,sale_amount,status,age,subscription,store_id,email,username
T10881,HP-14815,2017-11-30,2017-11-30 19:28:59,East,New York City,Furniture,248.58,5,1242.9,Failed,64,Free,S01,harold.pawlan@example.com,harold70
T19319,AR-10825,2017-07-20,2017-07-20 15:51:35,East,New York City,Office Supplies,6.68,2,13.36,Failed,50,Premium,S06,anthony.rawles@example.com,anthony60
T15620,SC-20695,2016-09-25,2016-09-25 08:43:43,Central,La Crosse,Technology,99.99,5,499.95,Completed,66,Premium,S03,,steve59
T19062,CS-12250,2015-11-20,2015-11-20 13:07:08,West,San Diego,Office Supplies,12.53,4,50.12,Completed,31,Basic,S06,chris.selesnick@example.com,chris83
T10954,GH-14665,2017-12-28,2017-12-28 18:18:29,Central,Round Rock,Office Supplies,13.58,2,27.168,Completed,61,Premium,S05,greg.hansen@example.com,greg64
T19320,AR-10825,2017-07-20,2017-07-20 10:32:13,East,New York City,Furniture,81.88,2,163.764,Pending,33,Basic,S08,anthony.rawles@example.com,anthony49
T19152,KM-16720,2015-09-24,2015-09-24 20:06:36,West,Avondale,Office Supplies,7.29,2,14.576,Completed,67,Basic,S09,kunst.miller@example.com,kunst38
T13991,MS-17770,2014-11-03,2014-11-03 20:02:28,East,Lancaster,Office Supplies,95.45,3,286.344,Pending,57,Free,S03,maxwell.schwartz@example.com,maxwell39
T10800,CD-11920,2015-11-27,2015-11-27 17:28:47,West,Lake Elsinore,Furniture,56.78,5,283.92,Pending,59,Basic,S01,carlos.daly@example.com,carlos18
T17765,BB-11545,2017-08-12,2017-08-12 12:37:27,East,Columbia,Office Supplies,5.84,3,17.52,Failed,23,Basic,S06,brenda.bowman@example.com,brenda21
T15835,MJ-17740,2015-06-09,2015-06-09 18:04:40,South,Miami,Office Supplies,12.84,5,64.2,Pending,23,Basic,S06,max.jones@example.com,max31
T10445,PK-19075,2016-09-05,2016-09-05 20:18:38,Central,Detroit,Furniture,80.98,3,242.94,Completed,28,Premium,S12,pete.kriz@example.com,pete1
T19173,LB-16795,2016-12-01,2016-12-01 10:10:14,West,Oxnard,Office Supplies,370.98,3,1112.94,Completed,32,Basic,S01,laurel.beltran@example.com,laurel12
T14867,TT-21070,2017-11-13,2017-11-13 21:05:39,West,Seattle,Office Supplies,51.18,11,563.024,Completed,48,Free,S05,ted.trevino@example.com,ted90
T13449,TB-21250,2016-10-07,2016-10-07 15:10:29,West,Los Angeles,Office Supplies,13.63,2,27.264,Completed,62,Premium,S04,tim.brockman@example.com,tim57
T17163,MS-17770,2014-07-04,2014-07-04 16:55:02,South,Richmond,Office Supplies,3.12,5,15.6,Pending,57,Premium,S10,maxwell.schwartz@example.com,maxwell70
T11958,AC-10615,2017-09-02,2017-09-02 08:47:32,East,New York City,Office Supplies,4.28,4,17.12,,70,Basic,S06,ann.chong@example.com,ann10
T19911,KD-16615,2015-09-13,2015-09-13 17:32:59,West,Anaheim,Office Supplies,104.85,2,209.7,Completed,49,Premium,S04,ken.dana@example.com,ken4
T18775,LC-16960,2015-02-23,2015-02-23 09:21:54,East,New York City,Office Supplies,,2,10.896,Completed,42,Free,S06,lindsay.castell@example.com,lindsay14
T11917,AS-10630,2017-04-30,2017-04-30 15:14:36,South,Boynton Beach,Office Supplies,3.98,3,11.952,Completed,52,Premium,S07,ann.steele@example.com,ann30
T12620,JM-15655,2017-12-22,2017-12-22 17:16:15,West,Carlsbad,Technology,16.76,4,67.04,Pending,47,Premium,S06,jim.mitchum@example.com,jim85
