customer_id,first_name,last_name,email,phone,city,state,country,segment,churn_risk_score,created_at,updated_at,_ingest_timestamp,_source_file,_source_system,_batch_id
CUST-0001,First_1,Last_1,user_1@example.com,+1-555-859-0001,Los Angeles,CA,USA,Home Office,0.25,2024-01-01 10:00:00,2024-01-01 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0002,First_2,Last_2,user_2@example.com,+1-555-204-0002,Chicago,IL,USA,Consumer,0.52,2024-01-24 10:00:00,2024-01-24 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0003,First_3,Last_3,user_3@example.com,+1-555-195-0003,New York,NY,USA,Corporate,0.24,2024-01-01 10:00:00,2024-01-01 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0004,First_4,Last_4,user_4@example.com,+1-555-303-0004,New York,NY,USA,VIP,0.23,2024-01-18 10:00:00,2024-01-18 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0005,First_5,Last_5,user_5@example.com,+1-555-990-0005,Phoenix,AZ,USA,Consumer,0.66,2024-01-26 10:00:00,2024-01-26 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0006,First_6,Last_6,user_6@example.com,+1-555-532-0006,Chicago,IL,USA,Home Office,0.27,2024-01-23 10:00:00,2024-01-23 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0007,First_7,Last_7,user_7@example.com,+1-555-881-0007,Houston,TX,USA,Home Office,0.13,2024-01-31 10:00:00,2024-01-31 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0008,First_8,Last_8,user_8@example.com,+1-555-467-0008,Seattle,WA,USA,Home Office,0.53,2024-01-04 10:00:00,2024-01-04 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0009,First_9,Last_9,user_9@example.com,+1-555-570-0009,New York,NY,USA,Consumer,0.83,2024-01-24 10:00:00,2024-01-24 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0010,First_10,Last_10,user_10@example.com,+1-555-665-0010,Seattle,WA,USA,Home Office,0.71,2024-01-03 10:00:00,2024-01-03 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0011,First_11,Last_11,user_11@example.com,+1-555-296-0011,Dallas,TX,USA,Consumer,0.09,2024-01-19 10:00:00,2024-01-19 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0012,First_12,Last_12,user_12@example.com,+1-555-396-0012,Houston,TX,USA,Consumer,0.73,2024-01-25 10:00:00,2024-01-25 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0013,First_13,Last_13,user_13@example.com,+1-555-384-0013,Los Angeles,CA,USA,VIP,0.56,2024-01-13 10:00:00,2024-01-13 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0014,First_14,Last_14,user_14@example.com,+1-555-479-0014,Dallas,TX,USA,Home Office,0.22,2024-01-06 10:00:00,2024-01-06 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0015,First_15,Last_15,user_15@example.com,+1-555-799-0015,Phoenix,AZ,USA,Consumer,0.54,2024-01-23 10:00:00,2024-01-23 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0016,First_16,Last_16,user_16@example.com,+1-555-846-0016,Chicago,IL,USA,Corporate,0.18,2024-01-18 10:00:00,2024-01-18 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0017,First_17,Last_17,user_17@example.com,+1-555-755-0017,Seattle,WA,USA,Corporate,0.6,2024-01-09 10:00:00,2024-01-09 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0018,First_18,Last_18,user_18@example.com,+1-555-941-0018,New York,NY,USA,Consumer,0.69,2024-01-08 10:00:00,2024-01-08 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0019,First_19,Last_19,user_19@example.com,+1-555-167-0019,Seattle,WA,USA,Corporate,0.78,2024-01-09 10:00:00,2024-01-09 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0020,First_20,Last_20,user_20@example.com,+1-555-771-0020,Dallas,TX,USA,VIP,0.37,2024-01-07 10:00:00,2024-01-07 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0021,First_21,Last_21,user_21@example.com,+1-555-371-0021,Miami,FL,USA,Corporate,0.25,2024-01-05 10:00:00,2024-01-05 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0022,First_22,Last_22,user_22@example.com,+1-555-698-0022,Phoenix,AZ,USA,VIP,0.77,2024-01-24 10:00:00,2024-01-24 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0023,First_23,Last_23,user_23@example.com,+1-555-324-0023,Seattle,WA,USA,Corporate,0.46,2024-01-12 10:00:00,2024-01-12 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0024,First_24,Last_24,user_24@example.com,+1-555-148-0024,Los Angeles,CA,USA,Consumer,0.17,2024-01-25 10:00:00,2024-01-25 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0025,First_25,Last_25,user_25@example.com,+1-555-796-0025,Chicago,IL,USA,VIP,0.53,2024-01-26 10:00:00,2024-01-26 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0026,First_26,Last_26,user_26@example.com,+1-555-710-0026,Seattle,WA,USA,VIP,0.47,2024-01-13 10:00:00,2024-01-13 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0027,First_27,Last_27,user_27@example.com,+1-555-838-0027,New York,NY,USA,Consumer,0.6,2024-01-22 10:00:00,2024-01-22 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0028,First_28,Last_28,user_28@example.com,+1-555-756-0028,Phoenix,AZ,USA,Home Office,0.14,2024-01-25 10:00:00,2024-01-25 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
CUST-0029,First_29,Last_29,user_29@example.com,+1-555-564-0029,Seattle,WA,USA,Consumer,0.81,2024-01-06 10:00:00,2024-01-06 10:00:00,2026-08-13T19:21:32.359+05:30,customers.csv,CRM,batch_01
